,room,size,floor,total_floors,address,area,agent,start_time,url,Description,price
10,1,45.8,2,3,"Дивизионный пр., 15",р-н Древлянка,Собственик,2022-03-06,https://www.avito.ru/petrozavodsk/kvartiry/1-k._kvartira_458m_23et._2354257581,"Малоэтажный Район Птз ( Университетский).

Квартира без обременений. 1 собственник. 

В шаговой доступности бассейн Онего, в декабре этого года распахнёт свои двери Легкоотлетический Манеж птргу единственный в Птз. Рядом Лотос Plaza, Леруа Мерлен, но при этом рядом нет массовой многоэтажной застройки. 

Дом введён в эксплуатацию в декабре 2021 года. Наружные стены толщиной 510 мм. Меж квартирные 400 мм. За счёт природного газа, низкие коммунальные платежи.",4190000
11,1,35.1,3,9,"Комсомольский пр-т, 21",р-н Кукковка,Агентство,2022-03-05,https://www.avito.ru/petrozavodsk/kvartiry/1-k._kvartira_351_m_39_et._2116307288,"Подбираете новую квартиру, но еще не продали свою? Мы поможем вам в этом! 
Продается 1-комнатная квартира, 35,1 м², на 3-м этаже 9-ти этажного панельного дома в микрорайоне «Кукковка». 

Данную квартиру можно приобрести в ипотеку или с использованием материнского капитала. 

Преимущества: 

Удобная планировка;

Панельный дом, с хорошей шумоизоляцией;

Квартира очень тёплая, сухая, не торцевая;

Без посторонних запахов;

Чугунные батареи;

Балкон;

Комната — 18,3 м2 — на полу ламинат, натяжной потолок, стены ровные. 

Кухня — 6,9 м2 -на полу частично плитка, частично ламинат. 

Санузел -кафель. 

Остаётся кухня, встроенный шкаф в комнате! 

В шаговой доступности всё необходимое для комфортного проживания — остановки общественного транспорта, магазины, новая Лента, детские сады, школы, поликлиника. 

Если у Вас остались вопросы — звоните! 

Объект № 550065.
Многофункциональный центр недвижимости (Мфцн) оказывает полный спектр профессиональных решений в сфере недвижимости: 
- Купля-продажа вторичного жилья, полное юридическое сопровождение сделок любой сложности;
- Сертификат безопасности сделки;
- Полис защиты новосёла при приобретении новостройки;
- Профессиональная приёмка квартиры у застройщика;
- Ипотечное кредитование от ведущих банков-партнёров, страхование;
- Оформление перепланировки в соответствии с Законодательством;
- Прием документов специалистом Гбу Мфц;
- Петрозаводский кадастр недвижимости;
- оценка недвижимости. 

Ознакомиться со всеми предложениями Вы можете, перейдя по ссылке в наш магазин Мфцн, которая находится под данным объявлением, а также справа от объявления. 

Номер объекта: #2/550065/6805.",3420000
12,2,50.0,5,5,"ул. Ригачина, 34",р-н Зарека,Собственик,2022-03-06,https://www.avito.ru/petrozavodsk/kvartiry/2-k._kvartira_50m_55et._2356071331,"Продаётся 2 х комнатная квартира, 5/5 эт., по улице Ригачина, д. 34, с отличной планировкой, тёплая и уютная в кирпичном доме. 
Комнаты раздельные, — ламинат, стеклопакеты, качественные натяжные потолки, санузел раздельный — кафель, новые межкомнатные двери, установлены новые радиаторы. Чистый, ухоженный подъезд, всегда есть парковочные места, месторасположение дома удачное, все в шаговой доступности. 
Документы готовы к продаже, любая форма оплаты: 
Ипотека, сертификаты. Обмен любой, с моей или вашей доплатой! 
Звоните, договоримся об удобном времени для просмотра. 
Посредников из фирмы «Этажи», просьба не беспокоить.",3900000
13,1,30.8,4,5,"Краснофлотская ул., 16",р-н Октябрьский,Агентство,2022-03-08,https://www.avito.ru/petrozavodsk/kvartiry/1-k._kvartira_308_m_45_et._2341750625,"Предлагается к покупке однокомнатная квартира на 4 этаже 5-этажного панельного дома. 

Площадь: 30.8/16.4/6.5 м кв (общая/жилая/кухня). 

- Полноценная однокомнатная квартира, с отдельной кухней. 

- Природный газ. Только что произведена замена газовой автоматической колонки. 

- Низкие коммунальные платежи. 

- Установлены стеклопакеты. 

- Санузел совмещен и освобожден для ремонта. Вы сможете сделать все по своему вкусу! 

- Чистый аккуратный подъезд. Не крайний этаж! 

- Развитая инфраструктура района: магазины, аптеки, школы (лицей №40, школа №38), детские садики (№83, №49, № 79, №56), детская поликлиника №1, ТЦ «Главный» и многое другое для комфортной жизни. Совсем рядом с домом расположены остановки общественного транспорта, следующего во все концы города. 

Октябрьский район — по праву, один из любимых районов горожан для проживания. Квартиры здесь всегда пользуются спросом, а потому покупка данной квартиры будет хорошим вложением! 

Объект прошел юридическую проверку и готов к продаже. Один взрослый собственник. Квартира освобождена. 

Звоните и записывайтесь на просмотр! 

Арт. 18475846.",2900000
14,3,64.4,2,10,"ул. Попова, стр. 10",р-н Древлянка,Застройщик,2022-03-02,https://www.avito.ru/petrozavodsk/kvartiry/3-k._kvartira_644_m_210_et._2184873286,"Новая квартира (108) в ЖК «Каскад».
Дом №10, секция4.",7945000
15,2,55.0,3,9,"Зелёная ул., 12",р-н Перевалка,Собственик,2022-03-02,https://www.avito.ru/petrozavodsk/kvartiry/2-k._kvartira_55m_39et._2295987434,"Предлагается к покупке полноценная 2 комнатная квартира, на улице Зеленая, район: Перевалка, в пешей доступности от центра города — 15 минут. 
Общая площадь — 55 м2, комната — 11,5 м2, комната — 17,7 м2, кухня — 8,7 м2 — электроплита. Раздельный санузел. 
Квартира расположена на 3 этаже 9-ти этажного дома. 
Правильная, классическая планировка (две большие изолированные комнаты). 
Чистый, светлый подьезд. Порядочные соседи. Свое Тсж. 
В шаговой доступности продуктовые магазины, остановка общественного транспорта. Школа и детский сад в 5 минутах от дома. 
Квартира освобождена. Просмотры с 10 до 20.",3950000
16,3,60.3,14,25,"ул. Генерала Фролова, 15",р-н Кукковка,Агентство,2022-03-04,https://www.avito.ru/petrozavodsk/kvartiry/3-k._kvartira_603m_1425et._2349033918,"ЖК «Вертикаль» Продается трёхкомнатная квартира на 14-ом этаже в монолитном доме 2020 года постройке. Общая площадь квартиры 60,3 м2, зона кухни 5,2 м2; гостиная 21,6 м2; комнаты 13,6 м2 + 8,1 м2; ванная 2,6 м2; санузел 1,8 м2.

Уютная и очень теплая квартира;

Натяжной потолок по периметру всей квартиры;

Напольное покрытие в комнатах ламинат (34 класс);

Встроенная кухня с техникой (Boshe);

Индукционная варочная панель (Media);

Встроенная посудомойка (Media);

Санузел раздельный;

Кафель в санузле по индивидуальному заказу (Bellissima);

Два балкона;

Входная металлическая дверь;

Система умный дом;

Показатели со счетчиков воды и электричества отправляются автоматически;

Низкие коммунальные платежи;

Консьерж;

На первом этаже две большие колясочные;

Четыре бесшумных лифта (Otis);

В шаговой доступности: 

Остановки общественного транспорта (120 метров), Школа №2 (210 метров); Школа №5 (300 метров), Детский сад № 95 Родничок (290 метров), Магазин Магнит (100 метров), Магазин Пятёрочка (250 метров), Магазин Магнит Экстра (250 метров), Сбербанк (200 метров), Детская поликлиника №2 (200 метров), ТЦ Добрыня (190 метров). 

Документы готовы к продаже, два взрослых собственника. 

Варианты оплаты: 

Наличный расчет.

Ипотека от 4,7%.

Военная ипотека.

Ипотека с использованием мат. Капитала.

Зачет имеющегося жилья.

Банки партнеры: 

Сбербанк.

Втб.

Райффайзенбанк.

Открытие.

Газпробанк.

Компания arendacapital успешно оказывает услуги жилой и коммерческой недвижимости: 

Купля, продажа, обмен, аренда жилой и коммерческой недвижимости. 

Подбор недвижимости по Вашим потребностям. 

Гарантия и залог успешного проведения сделки. 

Содействие в согласовании условий проведения сделки купли-продажи. 

Поможем с получением ипотечного кредитования. 

Найдем покупателя на Вашу квартиру быстрее остальных. 

Решили продать или купить квартиру, арендовать офис или дом? Свяжитесь со специалистами нашего агентства, и он поможет Вам заключить сделку в кротчайшие сроки по Республике Карелия!",7500000
17,4,138.0,3,5,"Озёрный пер., 2",р-н Центр,AQUAMARINE,2022-03-08,https://www.avito.ru/petrozavodsk/kvartiry/4-k._kvartira_138m_35et._2004642334,"Предлагаем вашему вниманию квартиру в доме премиум-класса «Aquamarine». 

Общая площадь — 138 кв. М, 

Свободное планировочное пространство — 65,6 кв. М, 

Ванная комната — 6,1 кв. М, 

Высота потолков — 3,1 м. 

Видовые характеристики квартиры: Онежское озеро, сквер «Аквамарин». 

Выгодное расположение квартиры в доме обеспечат приватность и комфорт проживания. Свободная планировка дает вариативность использования пространства под себя и мы так же готовы предложить Вам варианты перепланировки квартиры. 

Дом расположен в самом престижном районе города, на первой береговой линии, рядом с Онежской набережной, живописным сквером «Аквамарин» и Приозерным парком. В пешей доступности супермаркеты, рестораны, престижные школы и детские образовательные клубы. Все это формирует гармоничную среду для семейного проживания. 

На закрытой территории дома расположены зоны для отдыха и общения, детская территория для активного времяпровождения, выполнено ландшафтное оформление всего пространства. 

Комфорт и качество проживания в доме обеспечено: 

— подземный паркинг с прямым доступом к дверям квартиры на лифте, 
— трехуровневая система охраны: система контроля доступа, 
— видеонаблюдение (84 камеры), охрана на объекте 24/7, 
— собственная управляющая компания, коммунальные платежи по городским тарифам на основании индивидуальных приборов учета, 
— собственная служба клининга (ежедневная уборка общих зон, паркинга), 
— центральная система кондиционирования, 
— ресепшн с консьерж-сервисом, 
— закрытый охраняемый гостевой паркинг, 
— террасы на крыше для жителей дома, 
— велопарковки, 
— онлайн–трансляция с детской площадки для родителей. 

*На фото указана возможная отделка квартиры. 

С другими вариантами планировок квартир можно ознакомиться в офисе продаж «Aquamarine» (пер. Озерный, д. 2). 

Для вашего удобства мы так же проводим встречи онлайн. 

Рассрочка платежа от застройщика до 5 лет под 9.9 % годовых! 

Первый взнос 20%. 

«Aquamarine» — новый уровень жизни.",28000000
18,2,74.5,1,3,"Дивизионный проезд, д. 15",р-н Древлянка,Собственик,2022-03-05,https://www.avito.ru/petrozavodsk/kvartiry/2-k._kvartira_745m_13et._2354140460,"Успейте купить до поднятия цен! Готовая квартира Подходит Под Семейную Ипотеку ( для семей у которых родился ребёнок после 1 января 2018 года 4,8-6 процентов годовых).

Предлагается к продаже необычная двухкомнатная квартира площадью 74,5 кв. М. Очень привлекательно смотрится кухня 16 кв. М на которой расположен эркер остеклённый в пол (очень много света). 

Квартира расположена в трёхэтажном доме построенным из керамического кирпича ( уникальные свойства керамики — лучшая тепло и звукоизоляция).

Мало соседей (в доме всего 36 квартир)-много парковочных мест. Район Университетского городка, рядом есть все необходимое для жизни и при этом фактически проживаете в лесной зоне на территории малоэтажного строительства. 

Эффективное вложение средств(стоимость квадратного метра в таких домах увеличилась на 257% за 5 лет что составило 51% годовых)- одно из лучших вложений в недвижимость в Птз. ( Есть техническая возможность перенести газовый котёл на внутреннюю стену эркера).",6276253
19,3,95.0,9,9,"ул. Ровио, 12А",р-н Кукковка,Собственик,2022-03-04,https://www.avito.ru/petrozavodsk/kvartiry/3-k._kvartira_95m_99et._2365807985,"Продам свою 3-ю квартиру 95 м. Кв. Один собственник. 9/9 Ровио 12А. Технический паспорт квартиры в фото. Есть утепленная, застеклённая лоджия, подогрев полов, плитка. Ванная-подогрев полов. Две гардеробных со встроенной системой хранения. Есть парковочное место на подземной парковке, в цену не входит. 
Гостиная -29,7+ гардеробная — 1,39.
Спальня -17,8.
Гардеробная к спальне -3,7.
Детская -17,5.
Кухня — 10,6. Реальному покупателю разумный торг….",10870000
20,2,45.7,4,5,"Нойбранденбургская ул., 18",р-н Ключевая,Собственик,2022-03-08,https://www.avito.ru/petrozavodsk/kvartiry/2-k._kvartira_457m_45et._2110465023,"Продается уютнаю 2-х комнатная квартира в отличном состоянии От собственника. 
Центральное отопление. 
Квартира очень тёплая. 
Индукционная плита. Бойлер. 
В квартире газ отключён законно, что экономит много места на кухне из-за отсутствия газового котла и денег за его обслуживание. В связи с этим электроэнергия дешевле. 
Комнаты изолированные 13.0 и 17.0 м., окна в комнатах на разные стороны. Из окна спальни вид на аллею и Онежское озеро. Остальные окна выходят во двор. 
Межкомнатные двери из массива дерева. 
Туалет 1.1.
Ванная 2.0. В ванной тёплые полы (электрические). 
Есть гардеробная. 
Балкон застеклен. Окна затонированы. 
Батареи новые с регулировкой. 
Натяжные потолки. Ламинат. 
В квартире хороший ремонт. 
Остается все, что на фото. 
Люстры. 
Кухня встроенная, совершенно новая. 
Остается мебель (угловой диван, два стеллажа в разных комнатах, два шкафа купе — в комнате и прихожей) и бытовая техника (стиральная машина, Свч, двухкамерный холодильник, вытяжка — новая, чайник). 
Домофон. Интернет. 
Двор заасфальтирован в 2021 году. Есть парковка с двумя заездами и видеонаблюдением. 
Две видеокамеры во дворе. 
Не дорогие коммунальные услуги, около 4000 рублей в месяц вместе с счетчиками. 
Рядом с домом живописная аллея с заасфальтированной пешеходной зоной и уличным освещением позволяет совершать семейные прогулки на велосипедах и самокатах. 
В шаговой доступности 3 детских сада, школа, почта, магазины, поликлиника, бассейн, ТЦ. Развитое транспортное сообщение в любой микрорайон города. 10 минут на машине до центра города. 
Соседи — приятные и ненавязчивые, с ними легко поддерживать хорошие отношения. 
Есть кладовка в сухом подвале под замком. 
Квартира освобождена. 
Купили и заехали. Ничего делать не нужно. 
Помощь при сопровождении сделки. 
Оформление за счет покупателя. 
Посредников просьба не беспокоить.",3800000
21,2,54.7,1,3,"Дивизионный пр., 17",р-н Древлянка,Собственик,2022-03-04,https://www.avito.ru/petrozavodsk/kvartiry/2-k._kvartira_547m_13et._2354363264,"Малоэтажный Район Птз ( Университетский).

Квартира без обременений. 1 собственник. 

В шаговой доступности бассейн Онего, в декабре этого года распахнёт свои двери Легкоотлетический Манеж птргу единственный в Птз. Рядом Лотос Plaza, Леруа Мерлен, но при этом рядом нет массовой многоэтажной застройки. 

Дом введён в эксплуатацию в декабре 2021 года. Наружные стены толщиной 510 мм. Меж квартирные 400 мм. За счёт природного газа, низкие коммунальные платежи. Цена договорная.",4650000
22,3,43.0,2,2,"Советская ул., 9А",р-н Первомайский,Агентство,2022-03-08,https://www.avito.ru/petrozavodsk/kvartiry/3-k._kvartira_43_m_22_et._2309329949,"Уже в продаже! 

Предлагается к покупке 3-к квартира на 2 этаже 2-этажного дома по ул. Советская д. 9А. 

Площадь: 43/29.9/7.6 кв. М. (общая/жилая/кухня). 

Основные преимущества: 

- Состояние квартиры: «въезжай и живи». 

- Центральное водоснабжение и отопление. 

- Электроплита, согласована официально. 

- Хорошие соседи. 

- Расширенный центр, хорошая транспортная доступность и развитая инфраструктура. 

- Все в шаговой доступности: магазины, школы, детские сады. 

Возможна ипотека Сбербанка либо наличный расчёт! 

Наше агентство предоставит вам юридическую гарантию и чистоту всех сделок, полное сопровождение ипотечного и страхового брокера, комфортный офис в центре города. 

Звоните прямо сейчас и записывайтесь на просмотр! 

Арт. 18241052.",2500000
23,3,59.7,5,5,"ул. Профсоюзов, 22",р-н Железнодорожный,Агентство,2022-03-02,https://www.avito.ru/petrozavodsk/kvartiry/3-k._kvartira_597_m_55_et._2335458710,"Арт. 53793849 Компания «Недвижимость & Инвестиции» предлагает Вашему вниманию: 
Трехкомнатную квартиру улучшенной планировки в кирпичном доме(район-Пятый поселок). 
Квартира очень теплая, окна выходят на обе стороны. 
- Комнаты раздельные — 16,5м2 / 11,7м2. /10,6м2.
- Коридор — 8,3м2 (гарнитур в прихожей остается новым хозяевам). 
- Кухня — 7,7 м2 (хороший метраж, кухонный гарнитур в подарок новым собственникам). 
- Санузел раздельный: 
- кафель в ванной комнате;
- туалет- панели, на полу кафель;
- стоят счетчики на воду. 
Коммунальные платежи~ 6000руб. 
- Окна стеклопакеты. 
- Поменяны радиаторы (кроме одной спальни).
- В квартире есть лоджия, застеклена, обшита вагонкой и сделаны вместительные потайные шкафчики с каждой стороны лоджии (6м2). 
Тихие, хорошие соседи. 
Во дворе есть хорошая парковка, что является важным вопросом, в каждой семье, у кого есть автомобиль. 
Развита инфраструктура (магазины, детские сады, школы). 
Документы все готовы к сделке. 
Звоните! 
О нас: Оказываем профессиональные услуги на рынке недвижимости города Петрозаводска и Карелии с августа 2012 года. 
Осуществляем срочный выкуп Вашей недвижимости за наличные в течение одного рабочего дня. 
Активно занимаемся продажей нового жилья (большой выбор объектов в каждом районе города по цене застройщика). С удовольствием реализуем также и вторичный рынок. 
Работаем с объектами любой сложности. Осуществляем обмен с доплатой. Принимаем Ваше жилье в зачет.",4800000
24,2,52.0,2,2,"ул. Роберта Рождественского, 6",р-н Древлянка,Агентство,2022-03-08,https://www.avito.ru/petrozavodsk/kvartiry/2-k._kvartira_52_m_22_et._2309704014,"Евро-двухкомнатная в Университетском городке на улице Рождественского! 

Основные преимущества: 

Квартира расположена на 2-м этаже в малоквартирном 2-х этажном доме — Экологически чистый район, лесопарковая — прогулочная зона вдоль реки;

-Продуманная планировка квартиры: кухня-гостиная, спальня, комфортная ванная комната;

- Солнечная квартира с застекленным квадратным балконом;

- Вид на 2 стороны — и во двор и на внешнюю сторону дома;

- Закрытая частная придомовая территория, парковка на 2 автомобиля, вежливые соседи;

- Кухня оборудована современным гарнитуром со встроенной бытовой техникой;

- В шаговой доступности магазины Лотос Плаза, Леруа Мерлен, бассейны Онего, Fitness House — Детские сады, школы, учебно-лабораторные корпуса петргу, Фок;

- Состояние заезжай и живи;

Документы готовы к продаже! 

Звоните прямо сейчас! Пока стоимость не изменилась в след за курсом Евро! 

Арт. 18187650.",7390000
